ID,materia,codigocodif_V1,unidad,cantidad_co,valor_co,cantidad_uti,valor_uti
33497.0,HUEVOS,02311000,UNIDAD,104094.0,78071.0,104094.0,78071.0
33497.0,CARNES,211,KILOGRAMO,19574.0,826036.0,19574.0,826033.0
33497.0,POLLO,21121000,KILOGRAMO,33859.0,484333.0,33859.0,484333.0
33497.0,MANTECA,21700003,KILOGRAMO,11171.0,187669.0,11171.0,187669.0
33497.0,HARINA,23110001,QUINTAL,1177.0,498950.0,1177.0,498950.0
33497.0,GELATINA NEUTRA,23999013,KILOGRAMO,1213.0,90985.0,1213.0,90985.0
33497.0,OTROS INSUMOS MATERIA PRIMA,99999994,KILOGRAMO,28613.0,572266.0,28613.0,572266.0
33743.0,PAPEL,32129001,UNIDAD,7001.0,1750285.0,4300.0,1075108.0
33743.0,CARTON,32151002,UNIDAD,5691.0,1537835.0,3496.0,943996.0
33743.0,TINTA,35130,LITRO,7031.0,597658.0,4319.0,367110.0
33743.0,PEGAMENTO,35420,LITRO,10977.0,384209.0,6743.0,235999.0
33784.0,VERDURAS,012,KILOGRAMO,23355.0,135098.0,23855.0,137990.0
33784.0,CEBOLLIN,01253002,OTROS(ESPECIFICAR),1915.0,15320.0,1990.0,15920.0
33784.0,CHOCLO DESGRANADO,01290001,KILOGRAMO,7936.0,130335.0,8186.0,134441.0
33784.0,PLATANO TIENDAS,01312001,UNIDAD,9644.0,3715.0,9744.0,3754.0
33784.0,PLATANO DE FREIR,01313000,KILOGRAMO,5710.0,16670.0,5960.0,17400.0
33784.0,TUMBO CON CASCARA,01319012,ARROBA,2647.0,14330.0,2897.0,15683.0
33784.0,HUEVOS,02311000,UNIDAD,158700.0,111090.0,158750.0,111125.0
33784.0,CARNE DE RES,21111002,KILOGRAMO,2036.0,93723.0,2020.0,92986.0
33784.0,CARNE DE POLLO,21121000,KILOGRAMO,57740.0,235529.0,13593.0,55448.0
33784.0,CHARQUE,21183001,KILOGRAMO,4782.0,430346.0,4703.0,423237.0
33784.0,DURAZNO EN LATA,21492000,UNIDAD,2400.0,34468.0,2495.0,35832.0
33784.0,ACEITE,21691009,LITRO,8000.0,63100.0,8350.0,65861.0
33784.0,MANTECA,21700003,KILOGRAMO,26910.0,420817.0,26436.0,413405.0
33784.0,LECHE PIL O ILVA,22110001,LITRO,24300.0,126820.0,24178.0,126183.0
